id,ident,name,position,polygon
159,SARR,RESISTENCIA FIR,,
160,SAVF,COMODORO RIVADAVIA FIR,,
161,SBAO,ATLANTICO FIR,,
162,SBAZ,AMAZONICA FIR,,
163,SBBS,BRASILIA FIR,,
164,SBCW,CURITIBA FIR,,
165,SBRE,RECIFE FIR,,
166,SCCZ,PUNTA ARENAS FIR,,
167,SCEZ,SANTIAGO FIR,,
168,SCFZ,ANTOFAGASTA FIR,,
169,SCIZ,ISLA DE PASCUA FIR,,
170,SCTZ,PUERTO MONTT FIR,,
171,SEFG,GUAYAQUIL FIR/UIR,,
172,SGFA,ASUNCION FIR/UIR,,
173,SKEC,BARRANQUILLA FIR,,
174,SKED,BOGOTA FIR,,
175,SLLF,LA PAZ FIR,,
176,SMPM,PARAMARIBO FIR,,
177,SOOO,CAYENNE FIR,,
178,SPIM,LIMA FIR,,
179,SUEO,MONTEVIDEO FIR,,
180,SVZM,MAIQUETIA FIR,,
181,SYGC,GEORGETOWN FIR,,
182,TJZS,SAN JUAN OCEANIC FIR/UIR,,
183,TNCF,CURACAO FIR,,
184,TTZP,PIARCO FIR,,
185,TXKF,NY RADAR AREA (BDA VOR),,
186,UAAA,ALMATY FIR,,
187,UACC,ASTANA FIR,,
188,UAII,SHYMKENT FIR,,
189,UATT,AKTOBE FIR,,
190,UBBA,BAKU FIR,,
191,UCFM,BISHKEK FIR,,
192,UCFO,OSH FIR,,
193,UDDD,YEREVAN FIR,,
194,UEEE,YAKUTSK FIR,,
195,UELL,CHULMAN FIR,,
196,UEMO,OLEKMINSK FIR,,
197,UERP,POLIARNY FIR,,
198,UERR,MIRNY FIR,,
199,UGGG,TBILISI FIR,,
200,UHHH,KHABAROVSK FIR,,
201,UHMM,MAGADAN FIR,,
202,UHPD,OSSORA FIR,,
203,UHPK,UST-KAMCHATSK FIR,,
204,UHPM,MILKOVO FIR,,
205,UHPP,PETROPAVLOVSK-KAMCHATSKY FIR,,
206,UIII,IRKUTSK FIR,,
207,UKBV,KYIV FIR,,
208,UKDV,DNIPROPETROVSK FIR,,
209,UKFV,SIMFEROPOL' FIR,,
210,UKLV,L'VIV FIR,,
211,UKOV,ODESA FIR,,
212,ULAA,ARKHANGELSK FIR,,
213,ULAM,NARYAN-MAR FIR,,
214,ULKK,KOTLAS FIR,,
215,ULLL,SANKT-PETERBURG FIR,,
216,ULMM,MURMANSK FIR,,
217,ULWW,VOLOGDA FIR,,
218,UMKK,KALININGRAD FIR,,
219,UMMV,MINSK OPEN FIR,,
220,UNKL,KRASNOYARSK FIR,,
221,UNNT,NOVOSIBIRSK FIR,,
222,URRV,ROSTOV-NA-DONU FIR,,
223,USCC,CHELYABINSK FIR,,
224,USCM,MAGNITOGORSK FIR,,
225,USDD,SALEKHARD FIR,,
226,USDK,KAMENNY MYS FIR,,
227,USDS,TARKO-SALE FIR,,
228,USKK,KIROV FIR,,
229,USPP,PERM FIR,,
230,USSS,YEKATERINBURG FIR,,
231,USTR,TYUMEN FIR,,
232,UTAA,ASHGABAT FIR,,
233,UTAK,TURKMENBASHI FIR,,
234,UTAT,DASHOGUZ FIR,,
235,UTAV,TURKMENABAT FIR,,
236,UTDD,DUSHANBE FIR,,
237,UTNR,NUKUS FIR,,
238,UTSD,SAMARKAND FIR,,
239,UTTR,TASHKENT FIR,,
240,UUWV,MOSCOW FIR,,
241,UUYY,SYKTYVKAR FIR,,
242,UWKD,KAZAN FIR,,
243,UWWW,SAMARA FIR,,
244,VABF,MUMBAI FIR,,
245,VCCF,COLOMBO FIR,,
246,VDPP,PHNOM PENH FIR,,
247,VECF,KOLKATA FIR,,
248,VGFR,DHAKA FIR,,
249,VHHK,HONG KONG FIR,,
250,VIDF,DELHI FIR,,
251,VLVT,VIENTIANE FIR,,
252,VNSM,KATHMANDU FIR,,
253,VOMF,CHENNAI FIR,,
254,VRMF,MALE FIR,,
255,VTBB,BANGKOK FIR,,
256,VVTS,HOCHIMINH FIR,,
257,VVVV,HANOI FIR,,
258,VYYF,YANGON FIR,,
259,WAAF,UJUNG PANDANG FIR,,
260,WBFC,KOTA KINABALU FIR,,
261,WIIF,JAKARTA FIR,,
262,WMFC,KUALA LUMPUR FIR,,
263,WSJC,SINGAPORE FIR,,
264,YBBB,BRISBANE FIR,,
265,YMMM,MELBOURNE FIR,,
266,ZBPE,BEIJING FIR,,
267,ZGZU,GUANGZHOU FIR,,
268,ZHWH,WUHAN FIR,,
269,ZJSA,SANYA FIR,,
270,ZKKP,PYONGYANG FIR,,
271,ZLHW,LANZHOU FIR,,
272,ZMUB,ULAANBAATAR FIR,,
273,ZPKM,KUNMING FIR,,
274,ZSHA,SHANGHAI FIR,,
275,ZWUQ,URUMQI FIR,,
